,Australian Government capital expenditure,Australian Government recurrent funding,Average ICSEA value,Boys,Completed senior secondary school,"Fees, charges and parent contributions",Full-time equivalent enrolments,Full-time equivalent non-teaching staff,Full-time equivalent teaching staff,Girls,Income allocated to current capital projects,Income allocated to debt servicing(including principal repayments and interest on loans),Income allocated to future capital projects and diocesan capital funds,Indigenous students,"Less
                                           
                            deductions",Location,Name,New school loans,Non-teaching staff,Other,Other private sources,SMCLID,School ICSEA value,School sector,School type,School-based apprenticeships and traineeships,Senior secondary certificate awarded,State/territory government capital expenditure,State/territory government recurrent funding,Subtotal,Teaching staff,Total capital expenditure,Total enrolments,"Total gross income
                            (excluding income from government capital grants)",Total net recurrent income,VET enrolments,Year,Year 3 | Grammar,Year 3 | Numeracy,Year 3 | Reading,Year 3 | Spelling,Year 3 | Writing,Year 5 | Grammar,Year 5 | Numeracy,Year 5 | Reading,Year 5 | Spelling,Year 5 | Writing,Year 7 | Grammar,Year 7 | Numeracy,Year 7 | Reading,Year 7 | Spelling,Year 7 | Writing,Year 9 | Grammar,Year 9 | Numeracy,Year 9 | Reading,Year 9 | Spelling,Year 9 | Writing,Year range
0,,,1000,349,61,,704.3,22.3,51.7,365,,,,14%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,28,,,90780,945,Government,Combined,7,50,,,,56,,714,,,767,2014,345,334,405,325,300,460,451,487,473,451,507,489,521,512,479,524,542,552,547,520,"U, R-12"
1,"11,800","1,835,971",1000,359,45,"309,225",733.4,21.4,56.3,384,0,0,0,13%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,27,"2,644","63,398",90780,951,Government,Combined,,32,"97,236","8,920,208",0,62,"111,680",743,"11,128,802","11,128,802",88,2013,391,335,373,356,379,504,464,488,488,475,506,499,501,532,507,555,542,566,559,522,"U, R-12"
2,"55,811","1,419,488",1000,375,51,"251,598",737.8,20.3,58.7,380,0,0,0,12%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,25,"1,688","195,870",90780,930,Government,Combined,4,45,0,"8,937,951",0,62,"57,499",755,"10,804,907","10,804,907",44,2012,318,314,392,348,359,448,444,476,457,449,519,510,510,528,506,555,563,557,561,543,"U, R-12"
3,"879,405","1,538,412",1000,376,42,"313,502",782.6,19.2,61.7,414,0,0,0,12%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,24,0,"168,434",90780,924,Government,Combined,5,31,"68,223","8,528,165",0,69,"947,628",790,"10,548,513","10,548,513",59,2011,366,327,370,355,374,465,464,457,463,459,509,510,519,526,508,539,536,550,551,541,"U, R-12"
4,"1,870,210","1,672,109",1000,414,41,"315,422",780.4,17,60.7,379,0,0,0,13%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,23,"8,314","58,717",90780,924,Government,Combined,,37,"4,985","7,923,698",0,65,"1,883,509",793,"9,969,946","9,969,946",,2010,361,341,384,365,387,481,463,466,481,461,513,495,513,538,508,564,562,565,567,581,"U, R-12"
5,"362,327","1,327,937",1000,389,39,"316,530",790.5,22.2,62.6,411,0,0,0,13%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,29,"14,731","130,943",90780,914,Government,Combined,,30,"1,920,997","7,723,903",0,65,"2,298,055",800,"9,499,312","9,499,312",,2009,363,365,391,387,403,516,485,522,487,505,524,503,515,536,537,545,532,539,541,534,"U, R-12"
6,,,1000,391,,,764.5,22.8,60.9,389,,,,12%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,30,,,90780,914,Government,Combined,,,,,,65,,780,,,,2008,402,395,390,392,413,511,456,483,475,492,517,502,505,514,524,557,571,571,583,573,-
7,,,1000,382,,,735,12.4,38.8,353,,,,0%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,21,,,90787,1079,Government,Primary,,,,,,46,,735,,,,2014,444,412,421,422,416,514,488,497,500,449,560,551,559,552,537,,,,,,"U, R-7"
8,0,"1,024,433",1000,394,,"379,212",749,10.2,40.7,355,0,0,0,0%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,16,"10,628","102,246",90787,1076,Government,Primary,,,"372,975","5,845,835",0,48,"383,603",749,"7,351,726","7,351,726",,2013,424,398,412,413,405,493,464,498,493,466,553,559,547,566,543,,,,,,"U, R-7"
9,"14,435","480,379",1000,240,,"207,239",431,8,22.5,191,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,10,0,"63,086",90787,1068,Government,Primary,,,"11,172","3,229,899",0,27,"25,607",431,"3,980,603","3,980,603",,2012,417,402,422,426,415,512,490,506,505,468,557,541,546,553,546,,,,,,3-7
10,"621,551","498,978",1000,231,,"175,953",431,7.8,21.2,200,0,0,54,1%,54,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,10,"12,988","75,444",90787,1071,Government,Primary,,,0,"3,007,280",54,25,"634,539",431,"3,757,655","3,757,601",,2011,398,382,403,388,400,497,484,485,496,473,555,570,568,572,578,,,,,,R-7
11,"1,622,179","569,074",1000,227,,"214,354",435,7.9,22.2,208,0,0,120,1%,120,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,11,0,"73,655",90787,1076,Government,Primary,,,0,"3,001,753",120,26,"1,622,179",435,"3,858,836","3,858,716",,2010,426,393,421,403,414,507,486,499,491,465,555,564,549,561,554,,,,,,3-7
12,"278,190","563,939",1000,225,,"203,368",439,7.3,21.2,214,0,0,393,1%,393,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,9,0,"91,093",90787,1061,Government,Primary,,,0,"3,051,650",393,24,"278,190",439,"3,910,051","3,909,658",,2009,410,386,412,404,412,532,485,514,514,496,580,559,572,565,586,,,,,,3-7
13,,,1000,233,,,450,7.7,21.5,217,,,,-,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,10,,,90787,1061,Government,Primary,,,,,,24,,450,,,,2008,393,405,411,401,404,507,479,485,501,468,557,565,556,574,594,,,,,,-
14,,,1000,202,,,388,13.7,25.4,186,,,,13%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,18,,,90786,935,Government,Primary,,,,,,30,,388,,,,2014,356,364,367,354,348,431,440,453,441,432,501,496,512,497,482,,,,,,"U, R-7"
15,0,"871,498",1000,195,,"88,392",366,10.9,23.8,171,0,0,0,12%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,14,"11,147","43,350",90786,942,Government,Primary,,,"1,450,975","3,783,188",0,27,"1,462,122",366,"4,786,428","4,786,428",,2013,336,345,347,333,323,471,437,475,448,445,527,523,533,512,525,,,,,,"U, R-7"
16,0,"580,798",1000,203,,"94,460",381.5,13.5,30,179,0,0,0,10%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,18,0,"35,366",90786,930,Government,Primary,,,"2,170,232","3,667,018",0,33,"2,170,232",382,"4,377,642","4,377,642",,2012,341,344,349,344,359,442,437,459,437,432,521,506,522,512,486,,,,,,"U, R-7"
17,0,"677,338",1000,227,,"142,284",432,13.6,28,205,0,0,0,11%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,19,0,"51,921",90786,930,Government,Primary,,,0,"3,921,475",0,31,0,432,"4,793,018","4,793,018",,2011,383,366,383,373,392,463,447,469,454,453,499,485,500,503,485,,,,,,"U, R-7"
18,"1,919,605","902,077",1000,244,,"161,102",456,14.9,27,212,0,0,0,11%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,20,"62,400","33,304",90786,927,Government,Primary,,,0,"3,808,242",0,29,"1,982,005",456,"4,904,725","4,904,725",,2010,364,356,374,352,381,473,447,482,465,476,510,506,505,498,504,,,,,,"U, R-7"
19,"969,259","733,393",1000,269,,"142,326",495,14.7,28.6,226,0,0,0,10%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,20,0,"50,853",90786,928,Government,Primary,,,0,"4,063,023",0,30,"969,259",495,"4,989,594","4,989,594",,2009,375,355,375,360,397,465,454,481,455,461,498,492,503,486,499,,,,,,"U, R-7"
20,,,1000,250,,,470,14.1,25,220,,,,6%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,20,,,90786,928,Government,Primary,,,,,,27,,470,,,,2008,379,387,393,368,411,473,437,462,458,448,510,496,518,522,520,,,,,,-
21,,,1000,191,,,399.2,3.9,21.5,209,,,,3%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,7,,,90784,1072,Government,Primary,,,,,,24,,400,,,,2014,418,389,420,388,395,501,497,504,485,465,537,543,550,541,493,,,,,,R-7
22,0,"529,267",1000,196,,"220,134",399.8,4.4,22.8,204,0,0,"3,550",4%,"3,550",Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,8,"111,758","50,086",90784,1076,Government,Primary,,,0,"3,021,309","3,550",26,"111,758",400,"3,820,796","3,817,246",,2013,437,408,443,424,416,509,495,509,485,466,546,551,557,575,528,,,,,,R-7
23,"27,366","425,238",1000,193,,"184,358",381,5.4,20.4,188,0,0,"3,995",4%,"3,995",Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,9,"7,707","51,386",90784,1071,Government,Primary,,,0,"2,838,291","3,995",24,"35,073",381,"3,499,273","3,495,278",,2012,409,392,430,411,403,490,486,512,485,462,550,551,542,543,513,,,,,,R-7
